target_id	length	eff_length	est_counts	tpm
Sobic.006G000033.1	1633	1445.28	227	20.8318
Sobic.006G000066.1	761	573.571	3.79668	0.877947
Sobic.006G000100.2	3546	3358.28	1549	61.1768
Sobic.006G000400.1	1419	1231.28	26	2.80072
Sobic.006G000600.2	3394	3206.28	469	19.401
Sobic.006G000700.1	902	714.507	14	2.5988
Sobic.006G000800.2	3894	3706.28	51	1.82509
Sobic.006G000900.2	3856	3668.28	57	2.06094
Sobic.006G001000.1	3021	2833.28	8	0.374501
Sobic.006G001100.1	2315	2127.28	73	4.55146
Sobic.006G001200.1	3262	3074.28	32	1.38057
Sobic.006G001301.1	1249	1061.28	0	0
Sobic.006G001400.1	3854	3666.28	0	0
Sobic.006G001600.2	4388	4200.28	0	0
Sobic.006G001800.1	3919	3731.28	0	0
Sobic.006G001900.1	4422	4234.28	0	0
Sobic.006G002000.1	1583	1395.28	687	65.3053
Sobic.006G002100.1	1639	1451.28	60	5.48344
Sobic.006G002202.1	1578	1390.28	329	31.3868
Sobic.006G002300.1	3198	3010.28	693	30.5336
Sobic.006G002400.1	2487	2299.28	180	10.3832
Sobic.006G002500.1	1379	1191.28	102	11.3564
Sobic.006G002600.1	5102	4914.28	326.356	8.80813
Sobic.006G002700.1	3959	3771.28	822.644	28.9318
Sobic.006G002800.1	3180	2992.28	169	7.49094
Sobic.006G002900.1	2821	2633.28	822	41.4025
Sobic.006G003000.1	852	664.507	2	0.399192
Sobic.006G003100.1	1432	1244.28	21	2.23849
Sobic.006G003200.1	1151	963.275	0	0
Sobic.006G003300.1	1302	1114.28	248	29.5196
Sobic.006G003350.1	652	464.675	5	1.42716
Sobic.006G003400.1	2055	1867.28	1025	72.806
Sobic.006G003500.1	2077	1889.28	0	0
Sobic.006G003501.1	1715	1527.28	0	0
Sobic.006G003525.1	2142	1954.28	0	0
Sobic.006G003600.1	1899	1711.28	0	0
Sobic.006G003625.1	1440	1252.28	0	0
Sobic.006G003650.1	1551	1363.28	0	0
Sobic.006G003700.1	1612	1424.28	348	32.4068
Sobic.006G003800.2	1467	1279.28	1	0.103678
Sobic.006G003850.1	1336	1148.28	2	0.231012
Sobic.006G003901.1	370	183.753	99	71.4583
